individual,length.pike
1,53.3751
2,58.25364
3,46.46723
4,64.3398
5,45.83073
6,59.74112
7,73.75337
8,50.29257
9,50.72442
10,72.33037
11,59.83043
12,58.58567
13,47.50943
14,71.47372
15,62.9624
16,63.36808
17,54.57113
18,53.59892
19,61.88451
20,79.60789
21,73.90826
22,68.03704
23,71.26439
24,53.39932
25,791.4097
26,57.67424
27,56.74996
28,44.41899
29,64.19599
30,54.76951
31,55.47232
32,59.92077
33,55.22087
34,57.36991
35,59.3938
36,62.58593
37,57.97266
38,47.085
39,49.52084
40,52.09929
41,52.18322
42,66.00626
43,59.87199
44,63.42096
45,54.12674
46,54.07327
47,64.52676
48,47.43851
49,63.93598
50,63.86219
51,58.01949
52,63.70538
53,62.64039
54,73.11417
55,35.77358
56,45.53637
57,61.61671
58,58.45879
59,59.14642
60,64.7963
61,50.50343
62,77.46555
63,61.44985
64,44.23552
65,85.46392
66,59.9439
67,53.2667
68,57.30481
69,55.06275
70,64.17957
71,65.21944
72,62.57733
73,46.2024
74,72.8757
75,56.75425
76,69.68938
77,56.4456
78,75.51128
79,68.31251
80,67.1328
81,61.52574
82,55.98149
83,77.51975
84,57.06056
85,59.394
86,44.46225
87,64.96494
88,70.92591
89,52.14269
90,59.03647
91,58.2611
92,60.89925
93,40.43378
94,65.69374
95,59.7711
96,50.73136
97,61.91792
98,78.61453
99,55.06615
100,54.24458
101,62.65656
102,63.83096
103,64.97931
104,47.76522
105,43.89998
106,62.25198
107,48.50923
108,64.0799
109,67.56422
110,50.69336
111,74.14417
112,50.63043
113,37.35438
114,60.20347
115,58.72647
116,72.41984
117,57.15107
118,69.79308
119,45.75915
120,41.21974
121,53.35189
122,52.98088
123,63.20537
124,49.48048
125,62.19996
126,51.24284
127,69.22968
128,44.49979
129,57.54292
130,78.71957
131,65.58869
132,59.66938
133,54.367
134,69.86537
135,64.46089
136,63.23211
137,49.41793
138,50.48315
139,67.74315
140,82.32047
141,51.78828
142,56.00425
143,65.40763
144,42.9893
145,66.50424
146,70.83544
147,64.18245
148,71.70461
149,61.18649
150,46.88286
151,61.77155
152,68.29357
153,28.31239
154,67.7378
155,79.88443
156,56.03636
157,56.88798
158,73.04754
159,62.23403
160,62.32231
161,52.20953
162,62.11914
163,50.35148
164,50.65673
165,59.12507
166,56.47972
167,61.71455
168,42.91839
169,67.9381
170,41.71409
171,48.40996
172,49.31469
173,61.72002
174,56.99673
175,75.20083
176,69.36697
177,42.55723
178,52.94539
179,47.84631
180,54.35959
181,71.97666
182,60.99918
183,58.76518
184,50.30482
185,51.52746
186,75.44515
187,57.39147
188,79.40982
189,69.30887
190,56.62763
191,65.60768
192,74.63918
193,58.56494
194,72.52839
195,62.81763
196,67.01153
197,74.54061
198,65.43996
199,47.9259
200,80.46782
201,46.38387
202,69.29826
203,61.80957
204,46.83002
205,55.74544
206,69.74419
207,50.16533
208,64.88223
209,39.74988
210,41.19959
211,60.91306
212,59.50683
213,58.40757
214,59.84301
215,76.18513
216,50.0439
217,62.40421
218,66.53891
219,54.2182
220,46.99303
221,71.06079
222,50.06339
223,63.59771
224,60.64983
225,66.45191
226,68.01109
227,59.73667
228,57.40322
229,72.2662
230,64.27041
231,49.9733
232,61.09039
233,65.44967
234,50.03182
235,72.64192
236,49.61805
237,70.63592
238,52.1079
239,56.59337
240,64.21782
241,51.04338
242,75.54368
243,46.79751
244,72.66736
245,56.1944
246,45.40114
247,44.03314
248,60.56983
249,61.70502
250,69.88505
251,50.38572
252,53.79259
253,62.1626
254,75.50094
255,51.0277
256,49.62431
257,47.54001
258,73.72741
259,56.17915
260,53.31842
261,65.36545
262,54.34323
263,62.8123
264,70.72052
265,56.74383
266,54.3187
267,49.71865
268,63.72128
269,50.01679
270,53.67681
271,62.64875
272,61.58985
273,71.92404
274,60.61964
275,64.67363
276,78.03974
277,43.97117
278,50.58591
279,49.40215
280,70.64725
281,69.49585
282,53.63859
283,48.6205
284,59.79033
285,74.63093
286,62.47206
287,62.07298
288,71.6233
289,61.51907
290,60.61208
291,61.57991
292,45.71755
293,41.45252
294,69.33172
295,71.05317
296,49.91172
297,66.48856
298,48.4843
299,54.50285
300,36.49114
301,59.9174
302,59.90315
303,59.23297
304,51.0295
305,53.44721
306,64.11599
307,61.52075
308,67.69196
309,72.70427
310,55.3192
311,58.48302
312,64.22382
313,60.35161
314,62.03274
315,58.13333
316,60.68464
317,42.2155
318,54.53103
319,76.56369
320,59.52717
321,49.94443
322,59.70658
323,54.65014
324,53.40872
325,70.90067
326,63.75969
327,55.68425
328,64.84565
329,47.77811
330,55.1012
331,36.29548
332,64.24167
333,62.44425
334,68.14827
335,32.97155
336,60.25186
337,75.55135
338,59.44608
339,51.45803
340,68.46365
341,42.19173
342,68.01009
343,43.34687
344,68.10264
345,49.01297
346,34.02011
347,61.78433
348,57.31285
349,57.99506
350,54.97518
351,58.92835
352,64.04389
353,50.66426
354,74.88928
355,71.80195
356,52.32399
357,44.17554
358,56.71686
359,48.8091
360,64.01386
361,80.11845
362,59.97745
363,58.65168
364,64.41326
365,57.9122
366,62.04111
367,64.01705
368,43.3021
369,71.33695
370,56.79842
371,56.91776
372,48.86166
373,49.8757
374,48.19141
375,56.8785
376,69.20349
377,50.18027
378,62.88208
379,67.25967
380,53.33961
381,50.18903
382,47.8793
383,52.64295
384,53.08056
385,57.84394
386,69.38866
387,77.00023
388,60.8865
389,75.8117
390,55.88747
391,53.27463
392,73.19693
393,55.0119
394,56.64974
395,76.0385
396,69.78519
397,43.34096
398,46.76515
399,58.3268
400,71.07693
401,61.41286
402,63.04536
403,66.5563
404,51.74782
405,54.62359
406,54.15896
407,52.50815
408,51.01619
409,58.2833
410,66.99418
411,66.51013
412,45.25438
413,49.56691
414,54.53546
415,61.72325
416,67.04909
417,49.77444
418,52.45491
419,63.04403
420,62.40711
421,57.46633
422,62.01902
423,83.70501
424,53.25983
425,55.78563
426,72.08608
427,54.8093
428,41.75732
429,64.53439
430,52.24278
431,65.74976
432,38.9497
433,59.58107
434,67.71149
435,67.14566
436,55.14555
437,45.71097
438,61.72357
439,46.71955
440,42.7688
441,60.5095
442,69.15062
443,47.87445
444,49.60851
445,69.30903
446,44.80299
447,69.24533
448,71.86399
449,62.66603
450,75.40965
451,47.35528
452,72.5501
453,50.70017
454,61.24462
455,60.11914
456,49.29237
457,58.84884
458,66.21983
459,57.05881
460,64.5454
461,66.65669
462,60.21738
463,70.11756
464,57.17029
465,56.74264
466,53.48312
467,72.8406
468,63.86859
469,60.49398
470,61.94994
471,57.37827
472,66.09152
473,77.25898
474,78.42009
475,56.99713
476,73.08284
477,66.35482
478,54.96747
479,70.27337
480,61.20584
481,56.35081
482,67.77125
483,49.80071
484,65.86252
485,44.05603
486,36.05329
487,59.39932
488,62.7034
489,67.4657
490,52.45765
