Size,School,Density,Nonwhite,NO,Poverty,Mort.Rate
3.34,11.4,3243,8.8,15,11.7,921.87
3.14,11,4281,3.6,10,14.4,997.875
3.21,9.8,4260,0.8,6,12.4,962.354
3.41,11.1,3125,27.1,8,20.6,982.291
3.44,9.6,6441,24.4,38,14.3,1071.289
3.45,10.2,3325,38.5,32,25.5,1030.38
3.23,12.1,4679,3.5,32,11.3,934.7
3.29,10.6,2140,5.3,4,10.5,899.529
3.31,10.5,6582,8.1,12,12.6,1001.902
3.36,10.7,4213,6.7,7,13.2,912.347
3.39,9.6,2302,22.2,8,24.2,1017.613
3.2,10.9,6122,16.3,63,10.7,1024.885
3.21,10.2,4101,13,26,15.1,970.467
3.29,11.1,3042,14.7,21,11.4,985.95
3.26,11.9,4259,13.1,9,13.9,958.839
3.22,11.8,1441,14.8,1,16.1,860.101
3.35,11.4,4029,12.4,4,12,936.234
3.15,12.2,4824,4.7,8,12.7,871.766
3.44,10.8,4834,15.8,35,13.6,959.221
3.53,10.8,3694,13.1,4,12.4,941.181
3.22,11.4,1844,11.5,1,18.5,891.708
3.37,10.9,3226,5.1,3,12.3,871.338
3.45,10.4,2269,22.7,3,19.5,971.122
3.25,11.5,2909,7.2,3,9.5,887.466
3.35,11.4,2647,21,5,17.9,952.529
3.23,11.4,4412,15.6,7,13.2,968.665
3.1,12,3262,12.6,4,13.9,919.729
3.38,9.5,3214,2.9,7,12,844.053
2.99,12.1,4700,7.8,319,12.3,861.833
3.37,9.9,4474,13.1,37,17.7,989.265
3.49,10.4,3497,36.7,10,26.4,1006.49
2.98,11.5,4657,13.6,1,22.4,861.439
3.26,11.1,2934,5.8,23,9.4,929.15
3.28,12.1,2095,2,11,9.8,857.622
3.32,10.1,2682,21,14,24.1,961.009
3.16,11.3,3327,8.8,3,12.2,923.234
3.36,9.7,3172,31.4,17,24.2,1113.156
3.03,10.7,7462,11.3,26,12.4,994.648
3.32,10.5,6092,17.5,32,13.2,1015.023
3.32,10.6,3437,8.1,59,13.8,991.29
2.99,12,3387,3.6,21,13.5,893.991
3.19,10.1,3508,2.2,4,15.7,938.5
3.08,9.6,4843,2.7,11,14.1,946.185
3.32,11,3768,28.6,9,17.5,1025.502
3.21,11.1,4355,5,4,10.8,874.281
3.23,9.7,5160,17.2,15,15.3,953.56
3.11,12.1,3033,5.9,66,14,839.709
2.92,12.2,4253,13.7,171,12,911.701
3.36,12.2,2702,3,32,9.7,790.733
3.02,12.2,3626,5.7,7,10.1,899.264
3.21,11.1,1883,3.4,4,12.3,904.155
3.34,11.4,4923,3.8,5,11.1,950.672
3.22,10.7,3249,9.5,7,13.6,972.464
3.28,10.3,1671,2.5,2,13.5,912.202
3.25,12.3,5308,25.9,28,10.3,967.803
3.27,12.1,3665,7.5,2,13.2,823.764
3.39,11.3,3152,12.1,11,10.9,1003.502
3.25,11.1,3678,1,3,14,895.696
3.22,9,9699,4.8,8,14.5,911.817
3.48,10.7,3451,11.7,13,13,954.442